"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1436","Deve falhar ao tentar realizar login com campos campos vazios","webkit","2026-09-04","passed","2026-09-04","","","",""
"","900","Deve falhar ao tentar realizar login com email invalido","chromium","2026-09-04","passed","2026-09-04","","","",""
"","3822","Deve cadastrar um projeto com sucesso","webkit","2026-09-04","passed","2026-09-04","","","",""
"","3017","deve editar um projeto com sucesso","webkit","2026-09-04","passed","2026-09-04","","","",""
"","7525","Deve realizar login com sucesso","webkit","2026-09-04","passed","2026-09-04","","","",""
"","848","Deve falhar ao tentar realizar login com campos campos vazios","chromium","2026-09-04","passed","2026-09-04","","","",""
"","884","Deve falhar ao tentar realizar login com senha invalida","chromium","2026-09-04","passed","2026-09-04","","","",""
"","3321","Deve falhar ao tentar cadastrar um projeto sem nome","webkit","2026-09-04","passed","2026-09-04","","","",""
"","1560","authenticate via UI","setup","2026-09-04","passed","2026-09-04","","","",""
"","891","Deve falhar ao tentar cadastrar um projeto sem nome","chromium","2026-09-04","passed","2026-09-04","","","",""
"","1651","Deve falhar ao tentar realizar login com senha invalida","webkit","2026-09-04","passed","2026-09-04","","","",""
"","919","Deve cadastrar um projeto com sucesso","chromium","2026-09-04","passed","2026-09-04","","","",""
"","832","Deve realizar login com sucesso","chromium","2026-09-04","passed","2026-09-04","","","",""
"","1460","Deve falhar ao tentar realizar login com email invalido","webkit","2026-09-04","passed","2026-09-04","","","",""
"","1214","deve editar um projeto com sucesso","chromium","2026-09-04","passed","2026-09-04","","","",""
